Issue key;Commit ID;Associated Files
XWIKI-1660;35f0646ee57d2bca4fb8c2ab281a2f709bdca558;['xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/main/java/org/xwiki/refactoring/internal/listener/UpdateObjectsOnClassRenameListener.java', 'xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/main/resources/META-INF/components.txt', 'xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/test/java/org/xwiki/refactoring/internal/listener/UpdateObjectsOnClassRenameListenerTest.java', 'xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/pom.xml']
XWIKI-1660;35f0646ee57d2bca4fb8c2ab281a2f709bdca558;['xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/main/java/org/xwiki/refactoring/internal/listener/UpdateObjectsOnClassRenameListener.java', 'xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/main/resources/META-INF/components.txt', 'xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/test/java/org/xwiki/refactoring/internal/listener/UpdateObjectsOnClassRenameListenerTest.java', 'xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/pom.xml']
XWIKI-6073;1a28e0df5dfd936c0f29d45530ff42bd8d8f9449;['xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/test/MockitoOldcore.java']
XWIKI-6073;3f83f971156d4abd5f46aa652f224b6c2f804855;['xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/test/MockitoOldcore.java']
XWIKI-6073;0d9f278865dca96f0d23b0b112f0691fc838b2f2;['xwiki-platform-core/xwiki-platform-oldcore/src/main/java/com/xpn/xwiki/web/ExportURLFactory.java']
XWIKI-6073;1a28e0df5dfd936c0f29d45530ff42bd8d8f9449;['xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/test/MockitoOldcore.java']
XWIKI-6073;3f83f971156d4abd5f46aa652f224b6c2f804855;['xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/test/MockitoOldcore.java']
XWIKI-6073;0d9f278865dca96f0d23b0b112f0691fc838b2f2;['xwiki-platform-core/xwiki-platform-oldcore/src/main/java/com/xpn/xwiki/web/ExportURLFactory.java']
XWIKI-6073;1a28e0df5dfd936c0f29d45530ff42bd8d8f9449;['xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/test/MockitoOldcore.java']
XWIKI-6073;3f83f971156d4abd5f46aa652f224b6c2f804855;['xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/test/MockitoOldcore.java']
