Class;Coverage;Estimate Complexity
BcPBES2BlowfishCipherFactory;[90%-100%];1.0
BcPBES2DesCipherFactory;[90%-100%];1.0
BcPBES2DesEdeCipherFactory;[90%-100%];1.0
BcPBES2Rc2CipherFactory;[30%-40%];2.65
BcPKCS5S2KeyDerivationFunctionFactory;[70%-80%];4.3
BcPublicKeyParameters;[70%-80%];2.65
BcRSAKeyFactory;[70%-80%];1.55
BcRSAKeyPairGenerator;[60%-70%];1.55
BcRc2CbcPaddedCipherFactory;[90%-100%];1.55
BcRsaOaepCipherFactory;[90%-100%];1.0
BcRsaSsaPssSignerFactory;[70%-80%];3.2
BcSHA1DigestFactory;[90%-100%];1.0
BcSHA1withRsaSignerFactory;[90%-100%];1.0
BcSHA224DigestFactory;[90%-100%];1.0
BcSHA224withRsaSignerFactory;[90%-100%];1.0
BcSHA256DigestFactory;[90%-100%];1.0
BcSHA256withRsaSignerFactory;[90%-100%];1.0
BcSHA384DigestFactory;[90%-100%];1.0
BcSHA384withRsaSignerFactory;[90%-100%];1.0
BcSHA512DigestFactory;[90%-100%];1.0
BcSHA512withRsaSignerFactory;[90%-100%];1.0
BcScryptKDF;[90%-100%];1.0
BcScryptKeyDerivationFunctionFactory;[60%-70%];2.65
BcSigner;[80%-90%];1.55
BcStoreUtils;[70%-80%];2.38
BcStoreX509CertificateProvider;[80%-90%];1.55
BcUtils;[30%-40%];2.38
BcX509CertificateChainBuilder;[70%-80%];5.68
BcX509CertificateFactory;[70%-80%];1.55
BcX509CertificateGeneratorFactory;[60%-70%];5.12
BcX509Extensions;[70%-80%];1.55
BcX509v1CertificateGenerator;[90%-100%];1.0
BcX509v1TBSCertificateBuilder;[90%-100%];1.0
BcX509v3CertificateGeneratorBcX509v3TBSCertificateBuilder;[90%-100%];1.55
BeginLogEvent;[60%-70%];1.0
BeginTranslationMarker;[90%-100%];1.0
BinEntityResourceReferenceResolver;[90%-100%];1.0
BlameScriptService;[40%-50%];1.55
BlockAssert;[60%-70%];1.0
BlockAsyncRendererConfiguration;[60%-70%];1.55
BlockAsyncRendererResult;[90%-100%];1.0
BlockMatcherConverter;[80%-90%];4.03
BlockNavigator;[80%-90%];7.6
BlockStateChainingListener;[80%-90%];1.0
BlockTagHandler;[90%-100%];1.0
BlocksContainerMacro;[70%-80%];1.0
BlocksGeneratorPygmentsListener;[80%-90%];1.55
BodyFilter;[90%-100%];5.12
BoldTagHandler;[90%-100%];1.0
BooleanClass;[60%-70%];2.38
BooleanExtensionPropertySerializer;[90%-100%];1.0
BooleanMetaClass;[90%-100%];1.0
BooleanValueNode;[30%-40%];1.0
BootstrapSwitch;[80%-90%];1.55
BouncyCastleDigest;[80%-90%];1.0
BoxMacroParameters;[80%-90%];1.0
BreadcrumbElement;[90%-100%];1.55
BreakTagHandler;[90%-100%];2.65
Browser;[80%-90%];1.0
BrowserTestRule;[80%-90%];2.65
BufferOutputStream;[30%-40%];1.0
BulletedListBlock;[90%-100%];1.0
ByteArrayOutputTarget;[80%-90%];1.55
CMSSignedDataGeneratorParameters;[70%-80%];1.0
CSRFTokenInvalidator;[60%-70%];1.0
CSRFTokenScriptService;[30%-40%];1.0
CSSGetterPage;[90%-100%];1.0
CSSIdentifierSerializer;[90%-100%];3.48
