Class;Coverage;Estimate Complexity
LegacyEvent;[90%-100%];1.0
LegacyEventConverter;[60%-70%];4.03
LegacyEventLoader;[30%-40%];1.55
LegacyEventSaver;[80%-90%];4.03
LegacyEventStatus;[30%-40%];1.0
LegacyEventStatusManager;[70%-80%];2.65
LegacyEventStream;[30%-40%];1.0
Less4jCompiler;[90%-100%];1.0
LesserThanNode;[30%-40%];1.0
LevelsMetaClass;[90%-100%];1.0
LikeParameterPart;[90%-100%];1.0
LineBreakFilter;[90%-100%];2.38
LineBreakFilter;[60%-70%];2.65
LinePlotGenerator;[90%-100%];1.0
LineSplitter;[70%-80%];3.2
LineWrapperOutputStream;[80%-90%];3.2
LinkBlock;[50%-60%];1.55
LinkCheckerAllDocsPage;[90%-100%];1.0
LinkCheckerEventListener;[90%-100%];1.55
LinkCheckerScriptService;[90%-100%];1.0
LinkCheckerTransformationTest.StateAnswer;[90%-100%];1.0
LinkExtensionPlugin;[90%-100%];1.0
LinkFilter;[80%-90%];4.3
LinkLabelGeneratorChainingListener;[90%-100%];2.65
LinkQueueItem;[90%-100%];1.0
LinkState;[90%-100%];1.55
ListAttachmentArchive.XWikiAttachmentVersionComparator;[90%-100%];1.0
ListBuilder;[80%-90%];1.55
ListBuilder.CharPos;[40%-50%];1.55
ListClass;[60%-70%];2.65
ListClass.MapComparator;[60%-70%];3.2
ListFilter;[90%-100%];2.38
ListFilter;[70%-80%];5.12
ListItem;[90%-100%];1.0
ListItemBlock;[90%-100%];1.0
ListItemFilter;[80%-90%];5.95
ListItemStackingInlineContentChainingListener;[60%-70%];1.0
ListItemTagHandler;[90%-100%];1.0
ListMetaClass;[90%-100%];1.55
ListProperty;[70%-80%];2.38
ListProperty.NotifyList;[90%-100%];1.55
ListPropertyCollectionType;[40%-50%];1.55
ListPropertyPersistentList;[90%-100%];1.55
ListTagHandler;[90%-100%];1.55
ListXarObjectPropertySerializer;[80%-90%];5.12
ListenerDescriptor;[90%-100%];1.0
ListenerElement;[80%-90%];1.0
LiteralParameterPart;[90%-100%];1.0
LiveNotificationEmailListener;[80%-90%];3.48
LiveNotificationEmailListener.NotificationGraceTimeRunnable;[70%-80%];5.12
LiveNotificationEmailManager;[90%-100%];2.65
LiveNotificationEmailManager.QueueElement;[90%-100%];1.0
LiveNotificationEmailSender;[90%-100%];1.0
LiveTableElement;[60%-70%];1.55
LocalDocumentReference;[90%-100%];1.0
LocalEntityResolver;[30%-40%];5.95
LocalEventData;[80%-90%];1.0
LocalInfinispanCacheFactory;[90%-100%];1.0
LocalPageReference;[60%-70%];1.55
LocalStringEntityReferenceSerializer;[90%-100%];1.55
LocalUidStringEntityReferenceSerializer;[90%-100%];5.68
LocaleConfiguration;[80%-90%];2.38
LocaleConverter;[80%-90%];3.2
LocaleUtils;[80%-90%];3.2
LocalizationAdministrationSectionPage;[90%-100%];1.0
LocalizationScriptService;[70%-80%];1.55
LocalizedStringEntityReferenceSerializer;[90%-100%];3.2
LocationOperatorNodeGenerator;[60%-70%];4.03
LocationPicker;[70%-80%];1.0
LockAction;[80%-90%];5.12
LogEventConverter;[90%-100%];1.0
LogItemPane;[70%-80%];1.55
LogQueue;[80%-90%];1.0
LogQueueListener;[90%-100%];1.0
LogTree;[70%-80%];1.0
LogTreeNode;[30%-40%];2.65
LogUtils;[80%-90%];2.65
LogbackEventGenerator;[80%-90%];1.55
LoggerListener;[70%-80%];1.0
LoggingScriptService;[20%-30%];1.55
LoginAction;[90%-100%];1.0
LoginPage;[70%-80%];1.55
LogoAttachmentExtractor;[50%-60%];2.65
LogoutAction;[60%-70%];3.2
LongTextClassFieldEditPane;[80%-90%];1.55
LookaheadChainingListener;[80%-90%];1.0
LookaheadChainingListenerTest.TestChainingListener;[90%-100%];1.0
LookaheadWikiPrinter;[30%-40%];1.0
MacroBlock;[90%-100%];1.0
MacroBlockDumper;[80%-90%];2.38
MacroBlockMatcher;[90%-100%];1.0
MacroBlockSignatureGenerator;[70%-80%];1.55
MacroBlockSignatureVerifier;[70%-80%];1.55
MacroContentExecutor;[90%-100%];1.55
MacroContentTableBlockDataSource;[90%-100%];3.2
MacroErrorManager;[90%-100%];1.55
MacroExecutionException;[90%-100%];1.0
MacroId;[80%-90%];1.55
MacroInfo;[80%-90%];1.55
MacroLookupException;[90%-100%];1.0
MacroMarkerBlock;[70%-80%];1.0
MacroNotFoundException;[30%-40%];1.0
MacroTransformation;[80%-90%];2.65
MacroTransformation.MacroLookupExceptionElement;[90%-100%];1.0
MacroTransformation.PriorityMacroBlockMatcher;[90%-100%];2.38
MacroTransformationContext;[90%-100%];1.0
Mail;[70%-80%];1.55
MailMandatoryDocumentInitializer;[90%-100%];1.0
MailPlugin;[70%-80%];1.0
MailResenderListener;[80%-90%];1.55
MailSenderInitializerListener;[90%-100%];1.55
MailSenderPlugin;[60%-70%];4.03
MailSenderScriptService;[60%-70%];1.55
MailState;[80%-90%];5.12
MailStatus;[90%-100%];1.0
MailStatusAdministrationSectionPage;[90%-100%];1.0
MailStoreException;[90%-100%];1.0
MailTemplateImageAttachmentsExtractor;[90%-100%];1.0
MailtoResourceReferenceTypeParserMailtoURILabelGenerator;[90%-100%];1.0
MailtoXHTMLLinkTypeRenderer;[90%-100%];1.0
MainResourceReferenceHandlerManager;[90%-100%];1.0
MandatoryContentBoxMacro;[60%-70%];1.55
MapAdapter;[90%-100%];2.65
MapCache;[70%-80%];1.0
MapCache.MapCacheEntry;[70%-80%];1.0
MavenBuildExtensionRepository;[60%-70%];1.55
MavenCoreExtension;[60%-70%];1.0
MavenExtensionScanner;[70%-80%];5.12
MavenRepositorySerializer;[70%-80%];1.55
MavenResolver;[80%-90%];1.55
MavenUtils;[80%-90%];3.2
MemberCandidacy;[50%-60%];1.0
MembersCache;[90%-100%];1.0
MemoryAverageRating;[50%-60%];1.0
MemoryMailListener;[80%-90%];1.0
MemoryMailStatusResult;[80%-90%];1.0
MemoryMailStatusResult.AbstractMailStatusIterator;[70%-80%];2.38
MemoryPingDataProvider;[90%-100%];1.0
MenuEntryEditPageMenuHomePage;[90%-100%];1.0
MergeConfiguration;[90%-100%];1.0
MergeConflictPane;[90%-100%];1.0
MergeResult;[20%-30%];1.55
MergeUtils;[60%-70%];2.65
Message;[30%-40%];1.55
MessageFormatTranslationMessage;[80%-90%];3.2
MessageParser;[80%-90%];4.85
MessageParser.MessageElement;[90%-100%];1.0
MessageParser.MessageIndex;[90%-100%];1.0
MessageParser.MessageString;[90%-100%];1.0
MessageStreamScriptService;[90%-100%];1.55
MetaClass;[70%-80%];1.55
MetaData;[70%-80%];1.0
MetaDataBlock;[70%-80%];1.55
MetaDataConverter;[30%-40%];3.2
MetaDataDiff;[90%-100%];1.0
MetaDataParser;[70%-80%];2.65
MetadataBlockMatcher;[70%-80%];1.55
MethodArgumentUberspectorTest.ExtendingClass;[70%-80%];1.55
MethodArgumentUberspectorTest.InnerClass;[90%-100%];1.0
MethodArgumentsUberspector;[90%-100%];4.3
MethodArgumentsUberspector.ConvertingVelMethod;[30%-40%];1.0
MimeMessageFactoryProvider;[80%-90%];1.55
MinorEventAlertNotificationFilter;[90%-100%];1.0
MinorEventEmailNotificationFilter;[90%-100%];1.0
MockWikiModel;[80%-90%];2.38
MockitoRepositoryUtils;[80%-90%];2.65
MockitoRepositoryUtilsRule;[80%-90%];1.0
ModelConverter;[70%-80%];1.55
ModelFactory;[80%-90%];3.48
ModelScriptService;[60%-70%];1.55
ModifiablePageResource;[80%-90%];2.65
ModificationsResourceImpl;[80%-90%];3.2
MonitorPlugin;[20%-30%];2.38
MoveRequest;[70%-80%];1.0
MyBasicAuthenticator;[50%-60%];2.38
MyFilterConfig;[50%-60%];1.0
MyFormAuthenticator;[70%-80%];5.12
MyPersistentLoginManager;[60%-70%];3.2
NIOTool;[10%-20%];1.55
NamedColorThemeReference;[70%-80%];1.0
NamespaceNotAllowedException;[30%-40%];1.0
NamespaceURLClassLoader;[90%-100%];1.0
NamespaceUtils;[80%-90%];4.03
NavigationPanelAdministrationPage;[80%-90%];1.55
NavigationTreeElement;[90%-100%];1.0
NestedAnchorsFilter;[70%-80%];3.48
NestedPagesTree;[90%-100%];1.0
NestedScriptMacroValidatorListener;[80%-90%];3.2
NestedSpacesTree;[90%-100%];1.0
NetworkUserProfilePage;[90%-100%];1.55
NewLineBlock;[90%-100%];1.0
NewPagePanel;[90%-100%];1.0
NoOpQueryFilter;[90%-100%];1.0
NoneVelocityMacroFilter;[90%-100%];1.0
NotEqualsNode;[30%-40%];1.0
NotFoundResourceHandlerException;[60%-70%];1.0
NotNode;[30%-40%];1.0
Notification;[90%-100%];1.0
NotificationEmailPreferenceDocumentInitializerNotificationEmailSender;[90%-100%];1.0
NotificationException;[30%-40%];1.0
NotificationFilterPreference;[80%-90%];1.55
NotificationFilterPreferenceStore;[60%-70%];4.3
NotificationFilterPreferencesMigrator;[80%-90%];2.38
NotificationFiltersScriptService;[80%-90%];1.0
NotificationNotifiersScriptService;[60%-70%];1.55
NotificationPreferenceDocumentInitializer;[90%-100%];1.0
NotificationPreferenceScriptService;[70%-80%];2.38
NotificationScriptEventHelper;[30%-40%];1.0
NotificationScriptService;[60%-70%];1.0
NotificationSourcesScriptService;[20%-30%];1.0
NotificationUserIterator;[90%-100%];2.38
NotificationWatchScriptService;[60%-70%];1.0
Notifications;[90%-100%];1.0
NumberClass;[80%-90%];2.65
NumberClassEditElement;[90%-100%];1.0
NumberMetaClass;[90%-100%];1.0
NumberProperty;[80%-90%];1.55
NumberedListBlock;[90%-100%];1.0
Object;[30%-40%];1.55
ObjectAddAction;[70%-80%];5.12
ObjectAddForm;[90%-100%];1.0
ObjectAtPageVersionResourceImpl;[70%-80%];3.2
ObjectDiff;[30%-40%];1.0
ObjectEditPage;[60%-70%];1.55
ObjectEditPane;[90%-100%];1.0
ObjectPolicyType;[90%-100%];1.55
ObjectPrinter;[90%-100%];3.2
ObjectPropertiesResourceImpl;[80%-90%];3.2
ObjectPropertyAtPageVersionResourceImpl;[70%-80%];4.03
ObjectPropertyReference;[70%-80%];1.55
ObjectPropertyResourceImpl;[70%-80%];4.3
ObjectPropertySolrMetadataExtractor;[90%-100%];1.55
ObjectPropertySolrReferenceResolver;[90%-100%];1.0
ObjectPropertyWikiResource;[30%-40%];1.0
ObjectReference;[70%-80%];1.55
ObjectRemoveAction;[30%-40%];3.48
ObjectRemoveForm;[70%-80%];1.55
ObjectResourceImpl;[80%-90%];3.48
ObjectSolrMetadataExtractor;[90%-100%];1.55
ObjectSolrReferenceResolver;[80%-90%];2.65
ObjectsOfTypeTreeNode;[70%-80%];3.2
ObjectsResourceImpl;[80%-90%];4.03
ObjectsSynchronizeAction;[60%-70%];2.38
ObjectsTreeNode;[10%-20%];1.0
ObservationContextListener;[90%-100%];2.65
OfficeAttachmentImporter;[70%-80%];2.65
OfficeDocumentView;[30%-40%];1.0
OfficeHTMLCleaner;[90%-100%];1.0
OfficeImporterScriptService;[20%-30%];2.38
OfficeMacro;[10%-20%];2.38
OfficeMacroParameters;[30%-40%];1.0
OfficeServer.ServerState;[90%-100%];1.0
OfficeServerAdministrationSectionPage;[30%-40%];1.0
OfficeServerException;[30%-40%];1.0
OffsetsMapAlteredContent;[30%-40%];1.55
OldRenderingProvider;[70%-80%];1.55
OrBlockMatcher;[90%-100%];1.55
OrNode;[30%-40%];1.0
OrderByNode;[90%-100%];1.0
OsPingDataProviderOtherFormatPane;[90%-100%];1.0
OutdatedExtensionsDistributionStep;[40%-50%];3.48
OutputTargetConverter;[60%-70%];4.03
PBES2Parameters;[70%-80%];1.55
PBKDF2Parameters;[60%-70%];1.0
PDFResourceResolverPDFURIResolver;[60%-70%];3.48
Package;[30%-40%];2.38
PackageAPI;[20%-30%];1.0
PackageConfiguration;[80%-90%];1.0
PackageException;[20%-30%];1.0
PackagePlugin;[90%-100%];1.0
Packager;[30%-40%];3.2
PageAttachmentReference;[60%-70%];1.55
PageChildrenResourceImpl;[70%-80%];4.03
PageClass;[30%-40%];1.0
PageClassPropertyValuesProvider;[70%-80%];1.55
PageIndexNamingCriterion;[70%-80%];1.55
PageLayoutTabContent;[90%-100%];1.0
PageMetaClass;[90%-100%];1.0
PageObjectReference;[70%-80%];1.55
PageObjectSuite;[70%-80%];2.38
PageReference;[80%-90%];1.55
PageResourceReference;[10%-20%];1.55
PageResourceReferenceEntityReferenceResolver;[90%-100%];1.0
PageResourceReferenceTypeParser;[30%-40%];1.0
PageTagsResourceImpl;[70%-80%];3.48
PageWithPanels;[90%-100%];1.0
PagesForTagsResourceImpl;[80%-90%];2.65
PagesResourceImpl;[30%-40%];10.9
PaginationFilterPane;[90%-100%];1.0
PanelClassDocumentInitializer;[90%-100%];1.55
PanelEditPage;[30%-40%];1.0
PanelWikiUIExtension;[80%-90%];1.0
PanelWikiUIExtensionComponentBuilder;[80%-90%];1.55
PanelsAdministrationPage;[90%-100%];1.0
PanelsHomePage;[90%-100%];1.0
ParagraphBlock;[90%-100%];1.0
ParagraphFilter;[80%-90%];2.38
ParagraphTagHandler;[90%-100%];1.55
ParameterPart;[90%-100%];1.0
ParametersPrinter;[80%-90%];1.55
ParametersTests;[50%-60%];1.0
ParentResourceReference;[30%-40%];1.0
ParseException;[30%-40%];1.0
ParseGroovyFromString;[10%-20%];2.65
ParserUtils;[90%-100%];3.2
PartialEntityReference;[60%-70%];2.38
PasswordClass;[70%-80%];2.65
PasswordMetaClass;[90%-100%];1.0
PasswordToByteConverter;[90%-100%];1.55
PathConverter;[80%-90%];3.2
PathResourceReferenceTypeParser;[90%-100%];1.0
PathStringDocumentReferenceResolver;[90%-100%];4.03
PathStringEntityReferenceSerializer;[80%-90%];1.55
PathXHTMLLinkTypeRenderer;[90%-100%];1.0
PdfExport.ExportType;[90%-100%];1.0
PdfExportImpl;[70%-80%];2.38
PdfURLFactory;[30%-40%];1.0
Period;[90%-100%];1.0
PeriodFactory;[20%-30%];1.0
PermanentlyDeleteJob;[80%-90%];1.55
PermissionCheckerListener;[70%-80%];2.65
PersistentTestContext;[80%-90%];1.0
PersonalMessageDescriptor;[60%-70%];1.0
PersonalMessageStreamNotificationFilter;[80%-90%];1.55
PiePlotGenerator;[80%-90%];3.2
PlainTextBlockFilter;[80%-90%];2.65
PlainTextBlockParser;[90%-100%];1.0
PlainTextBlockRenderer;[90%-100%];1.0
PlainTextChainingRenderer;[90%-100%];1.55
PlainTextNormalizingChainingRenderer;[40%-50%];1.0
PlainTextNormalizingRenderer;[90%-100%];1.0
PlainTextRenderer;[90%-100%];1.0
PlainTextRendererFactory;[90%-100%];1.0
PlainTextStreamParser;[80%-90%];4.03
PlexusContainerProvider;[80%-90%];1.55
PlotType;[80%-90%];1.0
PluginApi;[10%-20%];1.55
PluginException;[20%-30%];1.0
PortletRequest;[60%-70%];1.0
PreferenceDateNotificationFilter;[70%-80%];4.03
PreferencesEditPage;[80%-90%];1.0
PreferencesUserProfilePage;[90%-100%];1.0
PrepareMailQueueItem;[90%-100%];1.0
PrepareMailRunnable;[80%-90%];3.2
PreserveTagHandler;[90%-100%];1.0
PreserverListener;[90%-100%];1.0
PreviewAction;[30%-40%];2.65
PreviewBoxPreviewEditPage;[90%-100%];1.0
PreviewableEditPage;[90%-100%];1.0
PrintInlineListener;[80%-90%];1.55
PrintListener;[90%-100%];1.0
PrintTextListener;[50%-60%];1.0
Printer;[80%-90%];1.0
PrivateKeyClassDocumentInitializer;[90%-100%];1.0
ProfileEditPage;[30%-40%];1.0
ProfileUserProfilePage;[90%-100%];1.0
ProgrammingRightCheckerListener;[90%-100%];3.2
ProgressBarPane;[80%-90%];1.55
ProgressScripService;[60%-70%];1.0
PropAddAction;[80%-90%];3.48
PropAddForm;[90%-100%];1.0
PropChangeForm;[90%-100%];1.0
PropDeleteAction;[90%-100%];1.0
PropUpdateAction;[30%-40%];3.48
PropertyClass;[60%-70%];1.0
PropertyClass;[60%-70%];1.55
PropertyClassEventGenerator;[80%-90%];3.2
PropertyClassOutputFilterStream;[80%-90%];3.2
PropertyComparator;[90%-100%];1.0
PropertyConverter;[90%-100%];5.12
PropertyException;[90%-100%];1.0
PropertyGroupDescriptor;[90%-100%];1.55
PropertyMandatoryException;[90%-100%];1.0
PropertyMetaClass;[80%-90%];1.55
PropertyPrinter;[90%-100%];8.98
PropertyValue;[90%-100%];1.0
PropertyValueNode;[30%-40%];1.0
ProtectedBlockFilter;[90%-100%];2.38
ProviderTest.TestProvider1;[90%-100%];1.0
ProviderTest.TestProvider12;[90%-100%];1.0
ProviderTest.TestProvider2;[90%-100%];1.0
ProviderTest.TestProviderWithExceptionInInitialize;[30%-40%];1.0
ProvidingTransactionRunnable;[30%-40%];1.0
ProxyFilterDescriptorManagerTest;[30%-40%];1.0
PssParameters;[60%-70%];1.0
PssSignerParameters;[60%-70%];1.0
PublicMessageDescriptor;[60%-70%];1.0
PureTextSyntaxContentEditorPushLevelProgressEvent;[90%-100%];1.0
PutFootnotesMacro;[80%-90%];2.38
PygmentsParser;[70%-80%];3.48
PythonMacro;[90%-100%];1.0
QueryAnalyzer;[80%-90%];2.38
QueryContext;[80%-90%];1.55
QueryContext.ObjectInfo;[90%-100%];1.55
QueryContext.PropertyInfo;[90%-100%];1.55
QueryGenerator;[80%-90%];4.03
QueryManagerScriptService;[80%-90%];1.0
QueryRegistrationHandler;[90%-100%];1.0
QueryRegistrationHandler;[90%-100%];1.0
QuestionAnsweredEvent;[30%-40%];1.0
QuestionAskedEvent;[70%-80%];1.0
QueueListener;[90%-100%];1.0
QueueListener.Event;[90%-100%];1.0
QuotationBlock;[90%-100%];1.0
QuotationLineBlock;[90%-100%];1.0
QuoteMacro;[90%-100%];1.0
R1004000XWIKI15249DataMigration;[70%-80%];1.0
R1004001XWIKI15249DataMigration;[70%-80%];1.0
R1008010XWIKI10092DataMigration;[90%-100%];1.0
R1100000XWIKI15620DataMigration;[10%-20%];2.65
R15428XWIKI2977DataMigrationR35100XWIKI7564DataMigration;[10%-20%];1.55
R35101XWIKI7645DataMigration;[10%-20%];1.55
R35102XWIKI7771DataMigration;[10%-20%];1.55
R42000XWIKI7726DataMigration;[10%-20%];1.0
R43000XWIKI6691DataMigration;[20%-30%];1.0
R4340XWIKI883DataMigration;[10%-20%];1.55
R4359XWIKI1459DataMigration;[0%-10%];2.38
R54600TranslationDataMigration;[20%-30%];1.0
R6079XWIKI1878DataMigration;[0%-10%];1.55
R6405XWIKI1933DataMigration;[40%-50%];1.0
R70000XWIKI7339DataMigration;[40%-50%];1.0
R72000XWIKI12153DataMigration;[10%-20%];1.55
R72001XWIKI12228DataMigration;[0%-10%];1.55
R73000XWIKI12277DataMigration;[0%-10%];1.0
R7350XWIKI2079DataMigration;[10%-20%];1.55
R90000XWIKI13474DataMigration;[90%-100%];1.0
R910000XWIKI14697DataMigration;[60%-70%];1.0
R910001XWIKI14697DataMigration;[70%-80%];1.0
R910100XWIKI14871DataMigration;[10%-20%];2.65
R911000XWIKI14889DataMigration;[90%-100%];1.0
R911001XWIKI14895DataMigration;[90%-100%];1.0
RC2KeyParameters;[30%-40%];1.55
RSAKeyGenerationParameters;[90%-100%];1.0
Range;[90%-100%];2.38
RangeFactory;[30%-40%];1.0
RangeIterable;[70%-80%];2.38
RatingClassDocumentInitializer;[90%-100%];1.0
RatingsScriptService;[20%-30%];1.55
RawBlock;[60%-70%];1.55
ReadOnlyXWikiContextProvider;[90%-100%];1.55
RealtimeNotificationGenerator;[70%-80%];3.2
RecipientConverter;[80%-90%];5.95
RecommendedExtensionRepository;[90%-100%];1.0
RecordableEventDescriptorHelper;[80%-90%];1.55
RecordableEventListener;[20%-30%];3.2
RecordableEventListener;[20%-30%];3.48
RecordableEventMigrator;[10%-20%];1.55
RecordableEventMigrator;[50%-60%];1.55
RedirectClassDocumentInitializer;[90%-100%];1.0
RedundancyFilter;[80%-90%];1.55
RefactoringScriptService;[90%-100%];1.0
ReferenceHandler;[90%-100%];5.12
ReferenceHandlerTest.TestReferenceHandler;[80%-90%];1.0
ReferenceTagHandler;[90%-100%];1.55
ReferenceUserDataExtractor;[90%-100%];1.0
ReferenceUserIterator;[70%-80%];1.0
ReflectionMethodUtils;[70%-80%];3.48
ReflectionUtils;[70%-80%];4.03
RegexEntityReference;[70%-80%];1.0
RegexEventFilter;[90%-100%];1.0
RegexTool.RegexResult;[90%-100%];1.0
RegisterAction;[60%-70%];4.3
RegisterMacrosOnImportListener;[80%-90%];1.55
RegisterMojo;[80%-90%];1.55
RegistrationModal;[90%-100%];1.0
RegistrationPage;[90%-100%];1.0
RelativeExtendedURL;[30%-40%];1.0
RelativeStringEntityReferenceResolver;[90%-100%];1.0
ReleaseEntryEditPage;[90%-100%];1.0
ReleaseHomePage;[70%-80%];1.0
RemoteEventData;[90%-100%];1.0
RemoteExtensionJobStartedEvent;[30%-40%];1.0
RemoteListener;[70%-80%];1.55
RenameJob;[90%-100%];1.55
RenamePage;[70%-80%];1.55
RenderingConfigClassDocumentConfigurationSource;[90%-100%];1.0
RenderingException;[30%-40%];1.0
RenderingScriptService;[80%-90%];2.38
RenderingTestClassRunner;[60%-70%];2.38
RepairXarJob;[70%-80%];3.48
ReplayRequest;[90%-100%];1.0
ReportDistributionStep;[90%-100%];1.0
RepositoryAdminPage;[70%-80%];1.0
RepositoryManager;[70%-80%];4.03
RepositoryRESTResource;[90%-100%];1.0
RepositoryResolver;[80%-90%];1.0
RepositoryUtils;[80%-90%];3.2
RepositoryUtils;[80%-90%];1.0
RequestFactory;[90%-100%];1.0
RequestLimit;[90%-100%];1.0
ResetPasswordCompletePage;[60%-70%];1.0
ResetPasswordPage;[80%-90%];1.0
ResolveException;[90%-100%];1.0
ResourceLoader;[30%-40%];2.65
ResourceLoader.JarInfo;[30%-40%];8.98
ResourceLoader.JarResourceHandle;[70%-80%];1.0
ResourceLoader.ResourceEnumeration;[50%-60%];2.65
ResourceNotFoundException;[30%-40%];1.0
ResourceReference;[90%-100%];1.55
ResourceReferenceConverter;[70%-80%];1.55
ResourceReferenceHandledEvent;[60%-70%];1.0
ResourceReferenceHandlerException;[90%-100%];1.0
ResourceReferenceHandlerServlet;[80%-90%];2.38
ResourceReferenceHandlingEvent;[90%-100%];1.0
ResourceReferenceParser;[20%-30%];1.0
ResourceType;[80%-90%];1.55
ResourcesResourceReference;[90%-100%];1.0
ResourcesResourceReferenceResolver;[90%-100%];1.0
RestoreJob;[80%-90%];1.55
RestrictedConfigurationSource;[90%-100%];1.0
RestrictedConfigurationSourceProvider;[90%-100%];1.0
ResubmissionPage;[60%-70%];1.0
RevisionCriteria;[80%-90%];1.55
RevisionCriteriaFactory;[40%-50%];1.0
RevisionInfo;[60%-70%];1.0
RightMap;[60%-70%];2.38
RightMap.AbstractRightMapIterator;[90%-100%];2.65
RightMap.RightSet;[70%-80%];1.0
RightMap.Values;[90%-100%];1.0
RightPanelsUIExtensionManager;[90%-100%];1.0
RightSet.RightIterator;[90%-100%];1.55
RightsEditPage;[50%-60%];1.0
RightsManager;[40%-50%];3.2
RightsManagerGroupsApi;[10%-20%];1.0
RightsManagerPlugin;[80%-90%];1.55
RightsManagerRightsApi;[10%-20%];1.55
RightsManagerUsersApi;[10%-20%];1.0
RollbackAction;[30%-40%];3.2
RollbackForm;[90%-100%];1.0
RootClassLoaderTranslationBundle;[80%-90%];5.12
RootComponentManager;[90%-100%];1.0
RootResourceImplRootTransactionRunnable;[90%-100%];1.0
RoutingFilter;[80%-90%];2.38
RssMacroParameters;[90%-100%];1.0
RuleState;[30%-40%];1.0
SAXEventWriter;[30%-40%];3.2
SAXSerializer;[30%-40%];1.55
SLF4JLogChute;[80%-90%];1.55
SOLRSearchSource;[30%-40%];15.03
SSXListener;[90%-100%];2.38
SVGPlugin;[10%-20%];1.55
SVGScriptService;[90%-100%];1.55
SafeAdvancedSearchableExtensionRepository;[10%-20%];1.55
SafeAdvancedSearchableRatableExtensionRepository;[10%-20%];1.55
SafeCancelableJobStatus;[40%-50%];1.0
SafeCoreExtension;[60%-70%];1.0
SafeCoreExtensionRepository;[30%-40%];1.0
SafeExtension;[30%-40%];1.0
SafeExtensionPlanAction;[30%-40%];1.0
SafeExtensionRepository;[60%-70%];1.55
SafeInstalledExtension;[70%-80%];1.0
SafeInstalledExtensionRepository;[10%-20%];1.55
SafeIterableResult;[30%-40%];1.0
SafeIterator;[60%-70%];1.55
SafeJobStatus;[60%-70%];1.0
SafeLocalExtension;[70%-80%];1.0
SafeLocalExtensionRepository;[10%-20%];1.55
SafeLogEventConverter;[90%-100%];2.65
SafeMessageConverter;[80%-90%];2.65
SafeRatableExtensionRepository;[20%-30%];1.0
SafeRatingExtension;[70%-80%];1.0
SafeReflectionProvider;[90%-100%];1.55
SafeSearchableExtensionRepository;[70%-80%];1.55
SafeSearchableRatableExtensionRepository;[20%-30%];1.55
SafeThrowableConverter;[90%-100%];1.0
SafeTreeMarshallingStrategy;[90%-100%];1.0
SafeTreeUnmarshaller;[90%-100%];1.55
SafeWriter;[90%-100%];1.0
SafeXStreamTest.FailToSerializeObject;[70%-80%];1.0
SafeXStreamTest.NotSerializableField;[30%-40%];1.0
SafeXStreamTest.NotSerializableObject;[60%-70%];1.0
SafeXStreamTest.NotSerializableObjectWithFailingToString;[90%-100%];1.0
SafeXStreamTest.RecursiveObjectSafeXStreamTest.RecursiveObjectThroughArray;[30%-40%];1.0
SameBlockMatcher;[90%-100%];1.0
SaveAction;[80%-90%];5.68
SaveAndContinueAction;[50%-60%];4.03
SaveDeletedAttachmentContentRunnable;[80%-90%];1.55
SaveWikiMetaDataStep;[90%-100%];1.55
SavedRequestManager.SavedRequest;[90%-100%];1.55
SavedRequestRestorerFilter;[90%-100%];2.65
Sax2Dom;[40%-50%];1.55
SchedulerEditPage;[90%-100%];1.0
SchedulerHomePage;[80%-90%];1.0
SchedulerJobClassDocumentInitializer;[90%-100%];1.55
SchedulerPage;[90%-100%];1.0
SchedulerPlugin;[70%-80%];2.65
SchedulerPluginException;[40%-50%];1.0
ScopeNotificationFilter;[80%-90%];2.65
ScopeNotificationFilterExpressionGenerator;[90%-100%];2.38
ScopeNotificationFilterLocationStateComputer;[90%-100%];4.3
ScopeNotificationFilterPreference;[80%-90%];1.0
ScopeNotificationFilterPreferencesGetter;[90%-100%];1.0
ScopeNotificationFilterPreferencesHierarchy;[90%-100%];1.55
ScriptClassLoaderHandlerListener;[80%-90%];2.65
ScriptEvaluatedEvent;[60%-70%];1.0
ScriptEvaluatingEvent;[60%-70%];1.0
ScriptExecutionContextInitializer;[90%-100%];1.0
ScriptExtensionRewriter;[90%-100%];1.55
ScriptMacroParameters;[90%-100%];1.0
ScriptMailResult;[60%-70%];1.0
ScriptQuery;[60%-70%];1.0
ScriptQueryParameter;[60%-70%];1.0
ScryptKDFParams;[70%-80%];1.55
ScryptParameters;[70%-80%];1.0
SearchRESTResource;[70%-80%];3.48
SearchResultsPane;[90%-100%];1.55
SectionBlock;[80%-90%];1.55
SectionBuilder;[90%-100%];1.55
SectionBuilder.TocEntrySectionBuilderTest.PrintListener;[90%-100%];1.0
SectionListener;[10%-20%];1.0
SecureIntrospector;[90%-100%];2.65
SecureMailTemplateManager;[90%-100%];1.55
SecureQueryManager;[30%-40%];1.0
SecureTemplateMimeBodyPartFactory;[90%-100%];1.0
SecureTemplateMimeMessageFactory;[90%-100%];1.0
SecureUberspector;[70%-80%];1.55
SecurityAuthorizationScriptService;[30%-40%];1.0
SecurityReference;[90%-100%];2.65
SecurityScriptService;[90%-100%];1.0
Select;[30%-40%];1.0
SendMailAdministrationSectionPage;[60%-70%];1.0
SendMailQueueItem;[90%-100%];1.0
SendMailRunnable;[80%-90%];3.2
SeparatePageRatingsManager;[20%-30%];2.65
